string,occurance,result,prob
'01010000',15,p(1|01010000),0.19862956909760407
'01010001',8,p(1|01010001),0.1251755062369816
'01010010',7,p(1|01010010),0.8491571739204967
'01010011',4,p(1|01010011),0.9850562532521585
'01010100',1,p(1|01010100),0.11008066794507895
'01010101',0,p(1|01010101),0.5200851406303955
'01010110',1,p(1|01010110),0.11007189263764813
'01010111',0,p(1|01010111),0.5859638956796221
'01011000',9,p(1|01011000),0.3312128339791021
'01011001',1,p(1|01011001),0.009005763830440536
'01011010',0,p(1|01011010),0.016397856247333115
'01011011',2,p(1|01011011),0.9972815165473936
'01011100',3,p(1|01011100),0.015091882794054993
'01011101',2,p(1|01011101),0.9979101958206854
'01011110',4,p(1|01011110),0.015396480149954418
'01011111',3,p(1|01011111),0.3238905620628252
'01100000',27,p(1|01100000),0.22156015268161722
'01100001',8,p(1|01100001),0.7491722335438545
'01100010',12,p(1|01100010),0.33128692977471524
'01100011',4,p(1|01100011),0.48110136477655197
'01100100',10,p(1|01100100),0.19878456907182354
'01100101',0,p(1|01100101),0.6250217008213717
'01100110',1,p(1|01100110),0.09081544387816272
'01100111',1,p(1|01100111),0.990993087199758
'01101000',7,p(1|01101000),0.00038134808748878135
'01101001',6,p(1|01101001),0.1669551817370547
'01101010',1,p(1|01101010),0.00038910891821163334
'01101011',3,p(1|01101011),0.0002885090614432451
'01101100',0,p(1|01101100),0.003088644118224958
'01101101',2,p(1|01101101),0.46253293602575174
'01101110',2,p(1|01101110),0.0029795555081121397
'01101111',5,p(1|01101111),0.4081634800212887
'01110000',8,p(1|01110000),0.4967329640689115
'01110001',9,p(1|01110001),0.33205631494880533
'01110010',3,p(1|01110010),0.3255133659202631
'01110011',0,p(1|01110011),0.3355306837393278
'01110100',1,p(1|01110100),0.022739399281808303
'01110101',0,p(1|01110101),0.7433013542906767
'01110110',3,p(1|01110110),0.9397376941613877
'01110111',4,p(1|01110111),0.7572646003972522
'01111000',12,p(1|01111000),0.661896289671331
'01111001',7,p(1|01111001),0.4273426608742599
'01111010',0,p(1|01111010),0.05086288779259113
'01111011',4,p(1|01111011),0.2560534465035444
'01111100',7,p(1|01111100),0.9840569019580488
'01111101',3,p(1|01111101),0.9999891979312224
'01111110',1,p(1|01111110),0.057916063344842554
'01111111',7,p(1|01111111),0.7091701184329994
'10000000',167,p(1|10000000),0.08374478895431067
'10000001',19,p(1|10000001),0.2615762188224672
'10000010',10,p(1|10000010),0.001405638315816689
'10000011',20,p(1|10000011),0.20148123053127837
'10000100',13,p(1|10000100),0.15565186878550966
'10000101',8,p(1|10000101),0.6160854298570821
'10000110',8,p(1|10000110),0.8526279563911051
'10000111',7,p(1|10000111),0.564817054850172
'10001000',29,p(1|10001000),0.034898031960044
'10001001',6,p(1|10001001),0.32783092302086303
'10001010',1,p(1|10001010),0.020782294665784996
'10001011',8,p(1|10001011),0.6180290461569258
'10001100',5,p(1|10001100),0.012246644500786425
'10001101',4,p(1|10001101),0.018672553176438744
'10001110',1,p(1|10001110),0.8352329449286642
'10001111',6,p(1|10001111),0.16843317049259027
'10010000',29,p(1|10010000),0.13756007443614876
'10010001',7,p(1|10010001),0.6978730969172096
'10010010',3,p(1|10010010),0.6480516820596915
'10010011',5,p(1|10010011),0.7812237268666505
'10010100',22,p(1|10010100),0.452635939964675
'10010101',1,p(1|10010101),0.8852199540657978
'10010110',0,p(1|10010110),0.00614533327086472
'10010111',6,p(1|10010111),0.662701467939233
'10011000',7,p(1|10011000),0.28766471997768384
'10011001',3,p(1|10011001),0.622558856016987
'10011010',2,p(1|10011010),0.4747026229015711
'10011011',2,p(1|10011011),0.9571681649823822
'10011100',4,p(1|10011100),0.24253960389150112
'10011101',2,p(1|10011101),0.9785331218696637
'10011110',2,p(1|10011110),0.4535027437274758
'10011111',6,p(1|10011111),0.8250589068050539
'10100000',20,p(1|10100000),0.19902590200922687
'10100001',3,p(1|10100001),0.01760395415754871
'10100010',7,p(1|10100010),0.14318341615739683
'10100011',1,p(1|10100011),0.16219637275177162
'10100100',4,p(1|10100100),0.4790549176007703
'10100101',8,p(1|10100101),0.24654712301898005
'10100110',1,p(1|10100110),0.8209858071398296
'10100111',4,p(1|10100111),0.264485703726836
'10101000',1,p(1|10101000),0.07999689272436267
'10101001',1,p(1|10101001),0.08348884704858414
'10101010',0,p(1|10101010),0.0016861386455837447
'10101011',0,p(1|10101011),0.008056060715684456
'10101100',2,p(1|10101100),0.4476925933889171
'10101101',2,p(1|10101101),0.9902223988948797
'10101110',0,p(1|10101110),0.3915816517651391
'10101111',0,p(1|10101111),0.4314661271575251
